Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
61;0,3759;A AC;19.01.22 8:02:23,9;0:00:01,5;19.01.22 8:02:25,0;0,3879;A AC;0,385386666666667;A AC;19.01.22 8:02:23,9;0,3759;A AC;Stable;19.01.22 8:02:25,4
62;0,348;A AC;19.01.22 8:02:25,4;0:00:00,1;19.01.22 8:02:25,4;0,348;A AC;0,348;A AC;19.01.22 8:02:25,4;0,348;A AC;Interval;19.01.22 8:02:25,5
63;0,268;A AC;19.01.22 8:02:25,5;0:00:02,8;19.01.22 8:02:28,2;0,3266;A AC;0,230825;A AC;19.01.22 8:02:25,8;0,1441;A AC;Unstable;19.01.22 8:02:28,3
64;0,3693;A AC;19.01.22 8:02:28,3;0:00:01,7;19.01.22 8:02:29,0;0,3874;A AC;0,383041176470588;A AC;19.01.22 8:02:29,9;0,3577;A AC;Stable;19.01.22 8:02:30,0
65;0,268;A AC;19.01.22 8:02:30,0;0:00:00,4;19.01.22 8:02:30,0;0,268;A AC;0,197775;A AC;19.01.22 8:02:30,3;0,148;A AC;Unstable;19.01.22 8:02:30,4
66;0,2021;A AC;19.01.22 8:02:30,4;0:00:00,1;19.01.22 8:02:30,4;0,2021;A AC;0,2021;A AC;19.01.22 8:02:30,4;0,2021;A AC;Interval;19.01.22 8:02:30,5
67;0,2207;A AC;19.01.22 8:02:30,5;0:00:02,3;19.01.22 8:02:32,7;0,3523;A AC;0,244760869565217;A AC;19.01.22 8:02:31,7;0,2125;A AC;Unstable;19.01.22 8:02:32,8
68;0,3777;A AC;19.01.22 8:02:32,8;0:00:01,6;19.01.22 8:02:33,9;0,3887;A AC;0,38604375;A AC;19.01.22 8:02:32,8;0,3777;A AC;Stable;19.01.22 8:02:34,4
69;0,3597;A AC;19.01.22 8:02:34,4;0:00:00,8;19.01.22 8:02:34,4;0,3597;A AC;0,22395;A AC;19.01.22 8:02:34,8;0,1451;A AC;Unstable;19.01.22 8:02:35,2
70;0,2488;A AC;19.01.22 8:02:35,2;0:00:00,2;19.01.22 8:02:35,3;0,2545;A AC;0,25165;A AC;19.01.22 8:02:35,2;0,2488;A AC;Interval;19.01.22 8:02:35,4
