Configurations,Start Time,Stop Time
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:29 CET 2022, Wed Jan 19 08:08:34 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:34 CET 2022, Wed Jan 19 08:08:39 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:39 CET 2022, Wed Jan 19 08:08:44 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:44 CET 2022, Wed Jan 19 08:08:49 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:49 CET 2022, Wed Jan 19 08:08:53 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:53 CET 2022, Wed Jan 19 08:08:58 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:58 CET 2022, Wed Jan 19 08:09:03 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:03 CET 2022, Wed Jan 19 08:09:08 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:08 CET 2022, Wed Jan 19 08:09:13 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:13 CET 2022, Wed Jan 19 08:09:17 CET 2022
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:17 CET 2022, Wed Jan 19 08:09:22 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:22 CET 2022, Wed Jan 19 08:09:27 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:27 CET 2022, Wed Jan 19 08:09:33 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:33 CET 2022, Wed Jan 19 08:09:37 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:37 CET 2022, Wed Jan 19 08:09:42 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:42 CET 2022, Wed Jan 19 08:09:46 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:46 CET 2022, Wed Jan 19 08:09:50 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:50 CET 2022, Wed Jan 19 08:09:55 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:55 CET 2022, Wed Jan 19 08:09:59 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:09:59 CET 2022, Wed Jan 19 08:10:03 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:03 CET 2022, Wed Jan 19 08:10:08 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:08 CET 2022, Wed Jan 19 08:10:12 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:12 CET 2022, Wed Jan 19 08:10:17 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:10:17 CET 2022, Wed Jan 19 08:10:21 CET 2022
