Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
49;0,205;A AC;18.01.22 8:50:51,6;0:00:00,4;18.01.22 8:50:51,9;0,3482;A AC;0,25455;A AC;18.01.22 8:50:51,7;0,2046;A AC;Unstable;18.01.22 8:50:52,0
50;0,3726;A AC;18.01.22 8:50:52,0;0:00:01,4;18.01.22 8:50:52,8;0,3834;A AC;0,380378571428571;A AC;18.01.22 8:50:52,0;0,3726;A AC;Stable;18.01.22 8:50:53,4
51;0,3551;A AC;18.01.22 8:50:53,4;0:00:01,8;18.01.22 8:50:53,4;0,3551;A AC;0,229766666666667;A AC;18.01.22 8:50:53,8;0,1418;A AC;Unstable;18.01.22 8:50:55,2
52;0,1987;A AC;18.01.22 8:50:55,2;0:00:00,1;18.01.22 8:50:55,2;0,1987;A AC;0,1987;A AC;18.01.22 8:50:55,2;0,1987;A AC;Interval;18.01.22 8:50:55,3
53;0,216;A AC;18.01.22 8:50:55,3;0:00:01,0;18.01.22 8:50:56,2;0,3224;A AC;0,23914;A AC;18.01.22 8:50:55,3;0,216;A AC;Unstable;18.01.22 8:50:56,3
54;0,3645;A AC;18.01.22 8:50:56,3;0:00:01,7;18.01.22 8:50:57,6;0,3837;A AC;0,380317647058824;A AC;18.01.22 8:50:56,3;0,3645;A AC;Stable;18.01.22 8:50:58,0
55;0,3089;A AC;18.01.22 8:50:58,0;0:00:01,1;18.01.22 8:50:58,0;0,3089;A AC;0,222727272727273;A AC;18.01.22 8:50:58,3;0,1455;A AC;Unstable;18.01.22 8:50:59,1
56;0,229;A AC;18.01.22 8:50:59,1;0:00:01,2;18.01.22 8:50:59,9;0,2518;A AC;0,234541666666667;A AC;18.01.22 8:50:59,7;0,2216;A AC;Interval;18.01.22 8:51:00,3
57;0,228;A AC;18.01.22 8:51:00,3;0:00:00,5;18.01.22 8:51:00,8;0,3055;A AC;0,23458;A AC;18.01.22 8:51:00,7;0,2037;A AC;Unstable;18.01.22 8:51:00,8
58;0,36;A AC;18.01.22 8:51:00,8;0:00:01,7;18.01.22 8:51:02,2;0,3838;A AC;0,379305882352941;A AC;18.01.22 8:51:00,8;0,36;A AC;Stable;18.01.22 8:51:02,6
59;0,2963;A AC;18.01.22 8:51:02,6;0:00:02,7;18.01.22 8:51:02,6;0,2963;A AC;0,226418518518519;A AC;18.01.22 8:51:02,9;0,146;A AC;Unstable;18.01.22 8:51:05,3
60;0,318;A AC;18.01.22 8:51:05,3;0:00:00,1;18.01.22 8:51:05,3;0,318;A AC;0,318;A AC;18.01.22 8:51:05,3;0,318;A AC;Interval;18.01.22 8:51:05,4
61;0,364;A AC;18.01.22 8:51:05,4;0:00:01,7;18.01.22 8:51:06,1;0,3837;A AC;0,380535294117647;A AC;18.01.22 8:51:05,4;0,364;A AC;Stable;18.01.22 8:51:07,1
62;0,3389;A AC;18.01.22 8:51:07,1;0:00:02,9;18.01.22 8:51:09,9;0,3503;A AC;0,234010344827586;A AC;18.01.22 8:51:07,5;0,1433;A AC;Unstable;18.01.22 8:51:10,0
63;0,374;A AC;18.01.22 8:51:10,0;0:00:00,3;18.01.22 8:51:10,2;0,383;A AC;0,379366666666667;A AC;18.01.22 8:51:10,0;0,374;A AC;Interval;18.01.22 8:51:10,3
64;0,3838;A AC;18.01.22 8:51:10,3;0:00:01,3;18.01.22 8:51:11,1;0,3846;A AC;0,380938461538462;A AC;18.01.22 8:51:11,5;0,3672;A AC;Stable;18.01.22 8:51:11,6
65;0,2958;A AC;18.01.22 8:51:11,6;0:00:02,8;18.01.22 8:51:14,3;0,3488;A AC;0,230767857142857;A AC;18.01.22 8:51:11,9;0,1436;A AC;Unstable;18.01.22 8:51:14,4
66;0,3736;A AC;18.01.22 8:51:14,4;0:00:00,9;18.01.22 8:51:15,1;0,3834;A AC;0,380488888888889;A AC;18.01.22 8:51:14,4;0,3736;A AC;Interval;18.01.22 8:51:15,3
67;0,3828;A AC;18.01.22 8:51:15,3;0:00:03,6;18.01.22 8:51:15,4;0,3838;A AC;0,266597222222222;A AC;18.01.22 8:51:16,4;0,1442;A AC;Unstable;18.01.22 8:51:19,0
68;0,3757;A AC;18.01.22 8:51:19,0;0:00:01,4;18.01.22 8:51:19,7;0,3849;A AC;0,381685714285714;A AC;18.01.22 8:51:20,3;0,3735;A AC;Interval;18.01.22 8:51:20,4
69;0,3801;A AC;18.01.22 8:51:20,4;0:00:01,4;18.01.22 8:51:20,6;0,3837;A AC;0,260657142857143;A AC;18.01.22 8:51:21,0;0,1504;A AC;Unstable;18.01.22 8:51:21,8
70;0,2283;A AC;18.01.22 8:51:21,8;0:00:01,5;18.01.22 8:51:22,6;0,2515;A AC;0,2333;A AC;18.01.22 8:51:23,2;0,2199;A AC;Stable;18.01.22 8:51:23,3
71;0,2119;A AC;18.01.22 8:51:23,3;0:00:00,3;18.01.22 8:51:23,5;0,3487;A AC;0,274933333333333;A AC;18.01.22 8:51:23,3;0,2119;A AC;Unstable;18.01.22 8:51:23,6
72;0,3739;A AC;18.01.22 8:51:23,6;0:00:01,7;18.01.22 8:51:23,9;0,3848;A AC;0,382052941176471;A AC;18.01.22 8:51:23,6;0,3739;A AC;Stable;18.01.22 8:51:25,3
73;0,3048;A AC;18.01.22 8:51:25,3;0:00:00,1;18.01.22 8:51:25,3;0,3048;A AC;0,3048;A AC;18.01.22 8:51:25,3;0,3048;A AC;Interval;18.01.22 8:51:25,4
